id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
453,Christian Eriksen,54,32.2,16,1.8,0.8,a,1.07,MID,MUN
454,Jonny Evans,44,6.1,14,2.3,0.5,a,0.94,DEF,MUN
455,Alejandro Garnacho,63,72.0,44,3.1,2.5,a,0.92,MID,MUN
456,Hannibal Mejbri,45,0.0,0,0.0,0.0,u,0.0,MID,MUN
457,Tom Heaton,40,0.0,0,0.0,0.0,a,0.0,GKP,MUN
458,Rasmus Højlund,69,19.9,24,2.7,1.2,a,1.05,FWD,MUN
459,Victor Lindelöf,43,3.6,3,0.8,0.0,d,0.0,DEF,MUN
460,Harry Maguire,49,8.4,9,1.3,0.2,a,1.08,DEF,MUN
461,Kobbie Mainoo,52,17.8,15,1.9,0.5,a,1.11,MID,MUN
462,Tyrell Malacia,44,0.4,0,0.0,0.0,a,2.0,DEF,MUN
463,Lisandro Martínez,44,32.3,34,3.1,2.8,a,1.01,DEF,MUN
